From,To,Type,Year,Passengers,From_Country,To_Country,From_Lat,From_Lon,To_Lat,To_Lon
London,Dublin,International,2011,5106040,United Kingdom,Ireland,51.4893335,-0.1440551,53.3493795,-6.2605593
Moscow,Saint Petersburg,International,2011,5051518,Russia,Russia,55.625578,37.6063916,59.9606739,30.1586551
London,Amsterdam,International,2011,4920551,United Kingdom,Netherlands,51.4893335,-0.1440551,52.3730796,4.8924534
London,New York,International,2011,4869777,United Kingdom,United States,51.4893335,-0.1440551,40.7127281,-74.0060152
London,Dubai,International,2011,3630407,United Kingdom,United Arab Emirates,51.4893335,-0.1440551,25.0742823,55.1885387
London,Barcelona,International,2011,3490189,United Kingdom,Spain,51.4893335,-0.1440551,41.3825802,2.177073
London,Edinburgh,International,2011,3373092,United Kingdom,United Kingdom,51.4893335,-0.1440551,55.9533456,-3.1883749
Paris,Toulouse,International,2011,3218040,France,France,48.8588897,2.320041,43.6044622,1.4442469
Paris,Nice,International,2011,3184661,France,France,48.8588897,2.320041,43.7009358,7.2683912
London,Madrid,International,2011,3142916,United Kingdom,Spain,51.4893335,-0.1440551,40.4167047,-3.7035825
Rio de Janeiro-Santos Dumont,São Paulo-Congonhas,International,2022,2978669,Brazil,Brazil,-22.9122964,-43.1676687,-23.626918,-46.661897
Porto Alegre,São Paulo-Congonhas,International,2022,1630763,Brazil,Brazil,-30.0324999,-51.2303767,-23.626918,-46.661897
Brasília,São Paulo-Congonhas,International,2022,1565820,Brazil,Brazil,-10.3333333,-53.2,-23.626918,-46.661897
Recife,São Paulo-Guarulhos,International,2022,1545757,Brazil,Brazil,-8.0584933,-34.8848193,-23.4675941,-46.5277704
Porto Alegre,São Paulo-Guarulhos,International,2022,1524626,Brazil,Brazil,-30.0324999,-51.2303767,-23.4675941,-46.5277704
Belo Horizonte,São Paulo-Congonhas,International,2022,1494260,Brazil,Brazil,-19.9227318,-43.9450948,-23.626918,-46.661897
Salvador,São Paulo-Congonhas,International,2022,1290367,Brazil,Brazil,13.8000382,-88.9140683,-23.626918,-46.661897
Belo Horizonte,São Paulo-Guarulhos,International,2022,1234256,Brazil,Brazil,-19.9227318,-43.9450948,-23.4675941,-46.5277704
Recife,São Paulo-Congonhas,International,2022,1169156,Brazil,Brazil,-8.0584933,-34.8848193,-23.626918,-46.661897
Brasília,Rio de Janeiro-Santos Dumont,International,2022,1142563,Brazil,Brazil,-10.3333333,-53.2,-22.9122964,-43.1676687
Buenos Aires,Santiago de Chile,International,2017,2027000,Argentina,Chile,-34.6083696,-58.4440583,-33.4377756,-70.6504502
Buenos Aires,São Paulo,International,2017,1903000,Argentina,Brazil,-34.6083696,-58.4440583,-23.5506507,-46.6333824
Buenos Aires,Miami,International,2017,1001000,Argentina,United States,-34.6083696,-58.4440583,25.7741728,-80.19362
Buenos Aires,Rio de Janeiro,International,2017,938000,Argentina,Brazil,-34.6083696,-58.4440583,-22.9110137,-43.2093727
Buenos Aires,Lima,International,2017,896000,Argentina,Peru,-34.6083696,-58.4440583,-12.0621065,-77.0365256
Buenos Aires,Madrid,International,2017,815000,Argentina,Spain,-34.6083696,-58.4440583,40.4167047,-3.7035825
Mendoza,Santiago de Chile,International,2017,425000,Argentina,Chile,-34.787093,-68.4381868,-33.4377756,-70.6504502
Buenos Aires,Bogotá,International,2017,372000,Argentina,Colombia,-34.6083696,-58.4440583,4.7110053,-74.0720857
Buenos Aires,Rome,International,2017,332000,Argentina,Italy,-34.6083696,-58.4440583,41.8933203,12.4829321
Buenos Aires,New York,International,2017,329000,Argentina,United States,-34.6083696,-58.4440583,40.7127281,-74.0060152
Buenos Aires,Córdoba,International,2017,1368000,Argentina,Argentina,-34.6083696,-58.4440583,37.8845813,-4.7760138
